,Time Span,High,IntermediateHigh,Normal,IntermediateLow,Low
71,2093-2094,6.1850224996808265,3.9650224996807992,2.485022499680781,2.1150224996807765,1.9300224996807744
72,2094-2095,6.235022499680781,3.985022499680781,2.485022499680781,2.110022499680781,1.922522499680781
73,2095-2096,6.285022499680736,4.005022499680763,2.485022499680781,2.1050224996807856,1.915022499680788
74,2096-2097,6.335022499680804,4.0250224996808015,2.485022499680781,2.10002249968079,1.907522499680795
75,2097-2098,6.385022499680758,4.045022499680783,2.485022499680781,2.0950224996807947,1.9000224996808013
76,2098-2099,6.4350224996808265,4.065022499680822,2.485022499680781,2.0900224996807992,1.8925224996808083
77,2099-2100,6.485022499680781,4.085022499680804,2.485022499680781,2.085022499680804,1.8850224996807583
78,2100-2101,6.535022499680736,4.105022499680786,2.485022499680781,2.0800224996808083,1.877522499680765
79,2101-2102,6.585022499680804,4.125022499680767,2.485022499680781,2.075022499680756,1.870022499680772
80,2102-2103,6.635022499680758,4.145022499680749,2.485022499680781,2.070022499680761,1.8625224996807788
81,2103-2104,6.6850224996808265,4.165022499680731,2.485022499680781,2.065022499680765,1.8550224996807856
82,2104-2105,6.735022499680781,4.1850224996808265,2.485022499680781,2.0600224996807697,1.8475224996807924
83,2105-2106,6.785022499680736,4.205022499680808,2.485022499680781,2.055022499680774,1.8400224996807992
84,2106-2107,6.835022499680804,4.22502249968079,2.485022499680781,2.0500224996807788,1.832522499680806
85,2107-2108,6.885022499680758,4.245022499680772,2.485022499680781,2.0450224996807838,1.825022499680756
86,2108-2109,6.9350224996808265,4.265022499680754,2.485022499680781,2.040022499680788,1.8175224996807628
87,2109-2110,6.985022499680781,4.285022499680736,2.485022499680781,2.0350224996807924,1.8100224996807697
88,2110-2111,7.035022499680736,4.305022499680831,2.485022499680781,2.030022499680797,1.8025224996807765
89,2111-2112,7.085022499680804,4.325022499680813,2.485022499680781,2.025022499680801,1.795022499680783
90,2112-2113,7.135022499680758,4.345022499680795,2.485022499680781,2.020022499680806,1.78752249968079
91,2113-2114,7.1850224996808265,4.3650224996807765,2.485022499680781,2.0150224996807538,1.780022499680797
92,2114-2115,7.235022499680781,4.385022499680758,2.485022499680781,2.0100224996807583,1.7725224996808038
93,2115-2116,7.285022499680736,4.40502249968074,2.485022499680781,2.005022499680763,1.7650224996807538
94,2116-2117,7.335022499680804,4.425022499680836,2.485022499680781,2.0000224996807674,1.7575224996807606
95,2117-2118,7.385022499680758,4.445022499680817,2.485022499680781,1.995022499680772,1.7500224996807674
96,2118-2119,7.435022499680826,4.465022499680799,2.485022499680781,1.9900224996807765,1.7425224996807742
